feature,importance
num__Readiness_Strength,0.18474382512597975
num__Injury_History_Weight,0.11192784264068494
num__Reaction_Time_ms,0.08765191885375251
num__Stress_Level_Score,0.07962069759696573
num__Sleep_Hours_Per_Night,0.07435179658473853
num__Sprint_Speed_10m_s,0.07033537228945815
num__Prep_Score,0.06523840993818715
num__Balance_Test_Score,0.06126553952765393
num__Hamstring_Flexibility,0.0457852243239873
num__Agility_Score,0.0442829339205014
num__Knee_Strength_Score,0.03839417884226056
num__Nutrition_Quality_Score,0.03800412792831181
num__Previous_Injury_Count,0.016178514693616693
num__Training_Hours_Per_Week,0.013608357795826954
num__Height_cm,0.01185723074651015
num__Matches_Played_Past_Season,0.011777165410872975
num__Workload_Index,0.01088736825481914
num__BMI,0.00948887674265721
num__Weight_kg,0.008340547063032238
num__Age,0.00607137731007659
num__Warmup_Routine_Adherence,0.005632154286883132
cat__Position_Goalkeeper,0.0018910829686650343
cat__Position_Forward,0.0015412846668362498
cat__Position_Midfielder,0.001124172487721886
